ticket_id_pk,pedido_id,cliente_id,nome_cliente,produto_id,nome_produto,categoria_problema,data_abertura,data_resolucao,status
1,6773,2789,Elton Freitas,22,Smart TVs 22,troca,2023-05-21,,aberto
2,5419,2077,Olívia Campos,5,Notebooks 5,troca,2024-05-05,2024-05-09,resolvido
2,5419,2077,Olívia Campos,163,Acessórios 163,troca,2024-05-05,2024-05-09,resolvido
3,1872,512,Bruno Dias,187,Cafés 187,atraso,2024-12-22,2024-12-27,resolvido
3,1872,512,Bruno Dias,106,Vitaminas 106,atraso,2024-12-22,2024-12-27,resolvido
4,6423,2721,Elton Araújo,114,Cafés 114,troca,2023-07-11,2023-07-18,resolvido
4,6423,2721,Elton Araújo,75,Tênis Esportivo 75,troca,2023-07-11,2023-07-18,resolvido
4,6423,2721,Elton Araújo,123,Vinhos 123,troca,2023-07-11,2023-07-18,resolvido
4,6423,2721,Elton Araújo,85,Camping 85,troca,2023-07-11,2023-07-18,resolvido
5,646,2956,Marcos Martins,185,Smart TVs 185,dúvida,2023-05-07,,aberto
6,2347,1739,Joana Freitas,26,Câmeras 26,defeito,2024-06-05,,escalado
6,2347,1739,Joana Freitas,126,Snacks Saudáveis 126,defeito,2024-06-05,,escalado
6,2347,1739,Joana Freitas,93,Cosméticos 93,defeito,2024-06-05,,escalado
6,2347,1739,Joana Freitas,21,Smart TVs 21,defeito,2024-06-05,,escalado
6,2347,1739,Joana Freitas,50,Móveis 50,defeito,2024-06-05,,escalado
6,2347,1739,Joana Freitas,41,Acessórios 41,defeito,2024-06-05,,escalado
7,8493,2456,Daniela Rodrigues,162,Cuidados com a Pele 162,atraso,2023-03-30,2023-04-10,resolvido
8,9416,2935,Flávia Figueiredo,68,Vasos 68,atraso,2024-05-06,,escalado
8,9416,2935,Flávia Figueiredo,189,Vinhos 189,atraso,2024-05-06,,escalado
8,9416,2935,Flávia Figueiredo,134,Literatura 134,atraso,2024-05-06,,escalado
8,9416,2935,Flávia Figueiredo,185,Smart TVs 185,atraso,2024-05-06,,escalado
9,453,136,Eduardo Castro,89,Natação 89,dúvida,2023-03-17,2023-03-27,resolvido
10,10501,1465,Bruno Duarte,61,Tapetes 61,cobrança,2023-08-22,2023-08-23,resolvido
10,10501,1465,Bruno Duarte,11,Fones de Ouvido 11,cobrança,2023-08-22,2023-08-23,resolvido
10,10501,1465,Bruno Duarte,31,Camisetas 31,cobrança,2023-08-22,2023-08-23,resolvido
10,10501,1465,Bruno Duarte,163,Acessórios 163,cobrança,2023-08-22,2023-08-23,resolvido
10,10501,1465,Bruno Duarte,84,Equipamentos de Academia 84,cobrança,2023-08-22,2023-08-23,resolvido
10,10501,1465,Bruno Duarte,46,Roupas Íntimas 46,cobrança,2023-08-22,2023-08-23,resolvido
11,6101,1852,Xavier Gomes,132,Literatura 132,atraso,2024-09-15,2024-09-30,resolvido
11,6101,1852,Xavier Gomes,26,Câmeras 26,atraso,2024-09-15,2024-09-30,resolvido
11,6101,1852,Xavier Gomes,100,Cuidados com a Pele 100,atraso,2024-09-15,2024-09-30,resolvido
11,6101,1852,Xavier Gomes,129,Livros Técnicos 129,atraso,2024-09-15,2024-09-30,resolvido
11,6101,1852,Xavier Gomes,25,Câmeras 25,atraso,2024-09-15,2024-09-30,resolvido
12,6684,2448,Joana Gomes,43,Acessórios 43,dúvida,2023-02-17,,aberto
12,6684,2448,Joana Gomes,51,Móveis 51,dúvida,2023-02-17,,aberto
12,6684,2448,Joana Gomes,62,Quadros 62,dúvida,2023-02-17,,aberto
12,6684,2448,Joana Gomes,13,Fones de Ouvido 13,dúvida,2023-02-17,,aberto
12,6684,2448,Joana Gomes,102,Cuidados com a Pele 102,dúvida,2023-02-17,,aberto
13,5479,2757,Otávio Alves,75,Tênis Esportivo 75,dúvida,2024-01-25,,escalado
13,5479,2757,Otávio Alves,99,Perfumes 99,dúvida,2024-01-25,,escalado
14,3972,1022,Wagner Duarte,92,Cosméticos 92,cobrança,2024-05-23,,aberto
15,5911,2712,Ursula Ferreira,136,Agendas 136,troca,2024-12-03,2024-12-10,resolvido
16,10238,1217,Tânia Figueiredo,54,Luminárias 54,defeito,2023-05-21,2023-05-22,resolvido
17,8594,1950,Zacarias Vieira,160,Cadeirinhas 160,atraso,2023-06-09,,aberto
18,9443,494,Daniela Andrade,132,Literatura 132,cobrança,2023-05-15,2023-05-18,resolvido
18,9443,494,Daniela Andrade,58,Luminárias 58,cobrança,2023-05-15,2023-05-18,resolvido
19,12104,1903,Natália Nascimento,26,Câmeras 26,dúvida,2023-03-14,2023-03-22,resolvido
19,12104,1903,Natália Nascimento,96,Cosméticos 96,dúvida,2023-03-14,2023-03-22,resolvido
20,7365,1601,Tânia Figueiredo,156,Roupas Infantis 156,atraso,2023-05-26,2023-06-08,resolvido
21,9019,970,Helena Fernandes,68,Vasos 68,dúvida,2023-12-14,2023-12-23,resolvido
21,9019,970,Helena Fernandes,44,Acessórios 44,dúvida,2023-12-14,2023-12-23,resolvido
21,9019,970,Helena Fernandes,125,Chocolates 125,dúvida,2023-12-14,2023-12-23,resolvido
22,11887,1444,Yara Cavalcanti,85,Camping 85,dúvida,2023-06-25,2023-06-28,resolvido
22,11887,1444,Yara Cavalcanti,16,Fones de Ouvido 16,dúvida,2023-06-25,2023-06-28,resolvido
22,11887,1444,Yara Cavalcanti,8,Notebooks 8,dúvida,2023-06-25,2023-06-28,resolvido
23,9973,2441,Thiago Gomes,175,Calçados 175,troca,2023-02-24,,escalado
23,9973,2441,Thiago Gomes,11,Fones de Ouvido 11,troca,2023-02-24,,escalado
24,14295,2776,Otávio Santos,145,Fraldas 145,defeito,2023-05-15,2023-05-16,resolvido
24,14295,2776,Otávio Santos,141,Material Escolar 141,defeito,2023-05-15,2023-05-16,resolvido
24,14295,2776,Otávio Santos,134,Literatura 134,defeito,2023-05-15,2023-05-16,resolvido
24,14295,2776,Otávio Santos,19,Smart TVs 19,defeito,2023-05-15,2023-05-16,resolvido
24,14295,2776,Otávio Santos,4,Notebooks 4,defeito,2023-05-15,2023-05-16,resolvido
25,4344,1770,Sandra Martins,26,Câmeras 26,dúvida,2023-12-08,2023-12-15,resolvido
25,4344,1770,Sandra Martins,82,Equipamentos de Academia 82,dúvida,2023-12-08,2023-12-15,resolvido
26,11398,1768,Ursula Martins,59,Tapetes 59,troca,2024-05-25,2024-06-04,resolvido
27,7203,479,Renata Cunha,78,Tênis Esportivo 78,dúvida,2024-08-03,2024-08-08,resolvido
28,4455,1614,Eduardo Souza,9,Tablets 9,cobrança,2024-03-30,2024-03-31,resolvido
29,6005,1383,Helena Martins,196,Calçados 196,atraso,2023-05-27,,aberto
29,6005,1383,Helena Martins,44,Acessórios 44,atraso,2023-05-27,,aberto
30,13626,2417,Paulo Nascimento,83,Equipamentos de Academia 83,cobrança,2023-12-15,,escalado
31,12398,1214,Vinicius Esteves,172,Notebooks 172,troca,2024-12-26,2025-01-03,resolvido
31,12398,1214,Vinicius Esteves,24,Câmeras 24,troca,2024-12-26,2025-01-03,resolvido
31,12398,1214,Vinicius Esteves,55,Luminárias 55,troca,2024-12-26,2025-01-03,resolvido
32,7152,263,Paulo Santos,124,Chocolates 124,dúvida,2024-01-15,2024-01-18,resolvido
32,7152,263,Paulo Santos,41,Acessórios 41,dúvida,2024-01-15,2024-01-18,resolvido
32,7152,263,Paulo Santos,176,Fones de Ouvido 176,dúvida,2024-01-15,2024-01-18,resolvido
33,10437,1674,Joana Lopes,199,Calças 199,atraso,2023-09-07,,escalado
33,10437,1674,Joana Lopes,195,Acessórios 195,atraso,2023-09-07,,escalado
33,10437,1674,Joana Lopes,7,Notebooks 7,atraso,2023-09-07,,escalado
34,13790,623,Sandra Andrade,119,Chás 119,troca,2024-07-24,2024-07-26,resolvido
34,13790,623,Sandra Andrade,50,Móveis 50,troca,2024-07-24,2024-07-26,resolvido
35,14552,274,Daniela Correia,161,Câmeras 161,defeito,2023-11-28,2023-12-07,resolvido
35,14552,274,Daniela Correia,82,Equipamentos de Academia 82,defeito,2023-11-28,2023-12-07,resolvido
35,14552,274,Daniela Correia,10,Tablets 10,defeito,2023-11-28,2023-12-07,resolvido
36,9850,812,Guilherme Ribeiro,182,Equipamentos de Academia 182,troca,2023-10-03,2023-10-11,resolvido
37,5618,1216,Igor Pinto,171,Fones de Ouvido 171,atraso,2024-12-01,2024-12-17,resolvido
37,5618,1216,Igor Pinto,137,Agendas 137,atraso,2024-12-01,2024-12-17,resolvido
37,5618,1216,Igor Pinto,195,Acessórios 195,atraso,2024-12-01,2024-12-17,resolvido
37,5618,1216,Igor Pinto,198,Vitaminas 198,atraso,2024-12-01,2024-12-17,resolvido
38,7103,934,Ivan Oliveira,168,Luminárias 168,troca,2024-02-08,2024-02-13,resolvido
38,7103,934,Ivan Oliveira,106,Vitaminas 106,troca,2024-02-08,2024-02-13,resolvido
39,11696,1925,Tânia Duarte,28,Camisetas 28,dúvida,2024-05-10,2024-05-13,resolvido
39,11696,1925,Tânia Duarte,180,Livros Técnicos 180,dúvida,2024-05-10,2024-05-13,resolvido
39,11696,1925,Tânia Duarte,10,Tablets 10,dúvida,2024-05-10,2024-05-13,resolvido
39,11696,1925,Tânia Duarte,103,Cuidados com a Pele 103,dúvida,2024-05-10,2024-05-13,resolvido
40,10638,308,Beatriz Cavalcanti,14,Fones de Ouvido 14,cobrança,2024-07-26,2024-08-01,resolvido
40,10638,308,Beatriz Cavalcanti,87,Camping 87,cobrança,2024-07-26,2024-08-01,resolvido
41,14313,2264,Wanessa Andrade,139,Material Escolar 139,cobrança,2024-10-19,2024-10-23,resolvido
41,14313,2264,Wanessa Andrade,159,Cadeirinhas 159,cobrança,2024-10-19,2024-10-23,resolvido
41,14313,2264,Wanessa Andrade,143,Material Escolar 143,cobrança,2024-10-19,2024-10-23,resolvido
42,3183,2503,Marcos Lima,52,Móveis 52,troca,2023-12-10,,escalado
42,3183,2503,Marcos Lima,194,Suplementos 194,troca,2023-12-10,,escalado
42,3183,2503,Marcos Lima,175,Calçados 175,troca,2023-12-10,,escalado
42,3183,2503,Marcos Lima,58,Luminárias 58,troca,2023-12-10,,escalado
43,9807,225,Vera Lima,92,Cosméticos 92,defeito,2023-12-06,,aberto
44,1585,738,Paulo Fernandes,155,Roupas Infantis 155,cobrança,2023-08-30,,escalado
44,1585,738,Paulo Fernandes,34,Calças 34,cobrança,2023-08-30,,escalado
45,14720,2186,Bruno Martins,80,Equipamentos de Academia 80,atraso,2023-05-28,2023-06-09,resolvido
46,14614,311,Kleber Rocha,93,Cosméticos 93,troca,2024-08-22,2024-08-27,resolvido
46,14614,311,Kleber Rocha,8,Notebooks 8,troca,2024-08-22,2024-08-27,resolvido
47,6954,1568,Olívia Nascimento,154,Roupas Infantis 154,atraso,2023-07-16,2023-07-27,resolvido
48,6439,2389,Yara Souza,67,Vasos 67,dúvida,2024-01-04,2024-01-06,resolvido
48,6439,2389,Yara Souza,175,Calçados 175,dúvida,2024-01-04,2024-01-06,resolvido
49,6996,2968,Tânia Ribeiro,67,Vasos 67,dúvida,2024-12-31,,aberto
49,6996,2968,Tânia Ribeiro,89,Natação 89,dúvida,2024-12-31,,aberto
49,6996,2968,Tânia Ribeiro,88,Camping 88,dúvida,2024-12-31,,aberto
49,6996,2968,Tânia Ribeiro,48,Roupas Íntimas 48,dúvida,2024-12-31,,aberto
49,6996,2968,Tânia Ribeiro,24,Câmeras 24,dúvida,2024-12-31,,aberto
49,6996,2968,Tânia Ribeiro,83,Equipamentos de Academia 83,dúvida,2024-12-31,,aberto
50,12973,2731,Xênia Souza,71,Utensílios 71,troca,2024-07-11,2024-07-13,resolvido
51,8167,1927,Yasmin Moreira,162,Cuidados com a Pele 162,defeito,2023-11-30,2023-12-10,resolvido
51,8167,1927,Yasmin Moreira,60,Tapetes 60,defeito,2023-11-30,2023-12-10,resolvido
52,9444,398,Zacarias Almeida,91,Cosméticos 91,dúvida,2023-04-30,2023-05-04,resolvido
53,14768,1013,Yara Nascimento,191,Quadros 191,troca,2024-12-31,2025-01-10,resolvido
54,2566,2362,Kleber Almeida,161,Câmeras 161,atraso,2023-12-12,2023-12-27,resolvido
54,2566,2362,Kleber Almeida,70,Utensílios 70,atraso,2023-12-12,2023-12-27,resolvido
54,2566,2362,Kleber Almeida,99,Perfumes 99,atraso,2023-12-12,2023-12-27,resolvido
55,12716,1160,Zacarias Esteves,80,Equipamentos de Academia 80,atraso,2024-10-14,2024-10-28,resolvido
56,12141,79,Xênia Costa,34,Calças 34,dúvida,2023-01-15,2023-01-20,resolvido
57,7073,2859,Renata Teixeira,180,Livros Técnicos 180,atraso,2023-10-05,2023-10-25,resolvido
57,7073,2859,Renata Teixeira,176,Fones de Ouvido 176,atraso,2023-10-05,2023-10-25,resolvido
57,7073,2859,Renata Teixeira,175,Calçados 175,atraso,2023-10-05,2023-10-25,resolvido
57,7073,2859,Renata Teixeira,24,Câmeras 24,atraso,2023-10-05,2023-10-25,resolvido
57,7073,2859,Renata Teixeira,89,Natação 89,atraso,2023-10-05,2023-10-25,resolvido
58,2360,1188,Nelson Dias,70,Utensílios 70,defeito,2024-04-12,2024-04-20,resolvido
59,8520,2101,Daniela Castro,89,Natação 89,defeito,2023-03-11,,aberto
59,8520,2101,Daniela Castro,46,Roupas Íntimas 46,defeito,2023-03-11,,aberto
60,5048,1623,Bruno Almeida,168,Luminárias 168,defeito,2023-06-12,2023-06-15,resolvido
60,5048,1623,Bruno Almeida,43,Acessórios 43,defeito,2023-06-12,2023-06-15,resolvido
61,11429,2936,Letícia Fernandes,196,Calçados 196,dúvida,2023-12-03,2023-12-11,resolvido
61,11429,2936,Letícia Fernandes,36,Calças 36,dúvida,2023-12-03,2023-12-11,resolvido
